не сочтите за труд передать кружка пожалуйста в пост охраны,взять(кружка)взять движение(пост охраны)движение
привет наша команда хочет чтобы ты следовал в кабинет 804 и прихватил документ для нас ,движение(кабинет 804)движение взять(документ)взять движение(обратно)движение
потрудитесь взять яблоко пожалуйста из кабинет 269,движение(кабинет 269)движение взять(яблоко)взять движение(обратно)движение
увези документация для меня только из отдел кадров,движение(отдел кадров)движение взять(документация)взять движение(обратно)движение
попробуй захватить кружка из аудитория 731,движение(аудитория 731)движение взять(кружка)взять движение(обратно)движение
довези документация пожалуйста в медпункт и сгоняй в начальную точку,взять(документация)взять движение(медпункт)движение движение(обратно)движение
 Настя хочет чтобы ты увез аптечка в кампус Евразия,взять(аптечка)взять движение(кампус Евразия)движение
пойди в медпункт и увези объект коллективу,взять(объект)взять движение(медпункт)движение
доброе утро заедь в пункт 135 и захвати печать нам,движение(пункт 135)движение взять(печать)взять движение(обратно)движение
добрый вечер Полина и Ксения жаждят чтобы ты доставил прибор в отдел кадров и только потом прибыл на прежнее место,взять(прибор)взять движение(отдел кадров)движение движение(обратно)движение
 требуем чтобы ты доставил пенал из буфет,движение(буфет)движение взять(пенал)взять движение(обратно)движение
будь так добр заедь в кампус Антарктида и отдай нам груз,движение(кампус Антарктида)движение взять(груз)взять движение(обратно)движение
иди в аудитория 366 и занеси документ им,взять(документ)взять движение(аудитория 366)движение
можете дойти в отдел кадров и отнести для них документ а после вернуться,взять(документ)взять движение(отдел кадров)движение движение(обратно)движение
 извольте именно для нас взять блокнот из пост охраны,движение(пост охраны)движение взять(блокнот)взять движение(обратно)движение
дружок съезди в библиотека и отвези коллективу аптечка,взять(аптечка)взять движение(библиотека)движение
пожалуйста попробуй захватить инструмент в библиотека и вот только тогда идти на прежнее место,взять(инструмент)взять движение(библиотека)движение движение(обратно)движение
добрый вечер они желают чтобы ты увез пицца в библиотека,взять(пицца)взять движение(библиотека)движение
добрый вечер мы просим чтобы ты в аудитория 676 принес документ и затем переместился назад,взять(документ)взять движение(аудитория 676)движение движение(обратно)движение
будь другом прихвати блокнот в медпункт и после этого иди на прежнее место,взять(блокнот)взять движение(медпункт)движение движение(обратно)движение
доброе утро требуем чтобы ты доставил яблоко для меня вот из буфет,движение(буфет)движение взять(яблоко)взять движение(обратно)движение
 можете довезти работа в кабинет 777 и затем вернуться,взять(работа)взять движение(кабинет 777)движение движение(обратно)движение
привет доберись в буфет и увези им работа а потом сбегай в исходную точку,взять(работа)взять движение(буфет)движение движение(обратно)движение
добрый вечер его руководители желают чтобы ты довез документ в пост охраны,взять(документ)взять движение(пост охраны)движение
доброе утро просим чтобы ты взял печать в кампус Антарктида,взять(печать)взять движение(кампус Антарктида)движение
будь другом увези для меня аптечка из отдел кадров,движение(отдел кадров)движение взять(аптечка)взять движение(обратно)движение
пойди пожалуйста в кабинет 635 и забери нам зонтик,движение(кабинет 635)движение взять(зонтик)взять движение(обратно)движение
доброе утро требуем чтобы ты в кабинет 79 отдал яблоко после вернулся,взять(яблоко)взять движение(кабинет 79)движение движение(обратно)движение
 хочется чтобы ты дошел в пост охраны и прихватил чашка вот мне,движение(пост охраны)движение взять(чашка)взять движение(обратно)движение
добрый вечер ее руководители требуют чтобы ты взял чашка из кабинет 383,движение(кабинет 383)движение взять(чашка)взять движение(обратно)движение
будь добр доберись в кабинет 266 и довези нам чашка,движение(кабинет 266)движение взять(чашка)взять движение(обратно)движение
добрый день я требую чтобы ты забрал тетрадь в буфет после чего переместился в начальную точку,взять(тетрадь)взять движение(буфет)движение движение(обратно)движение
добрый вечер довези мне именно весы из буфет,движение(буфет)движение взять(весы)взять движение(обратно)движение
привет я прошу чтобы ты привез груз вот сюда из библиотека,движение(библиотека)движение взять(груз)взять движение(обратно)движение
добрый день Сергею Александровичу хочется чтобы ты в медпункт занес кружка и после вернулся,взять(кружка)взять движение(медпункт)движение движение(обратно)движение
будь другом зайди в аудитория 493 и принеси аптечка коллективу,взять(аптечка)взять движение(аудитория 493)движение
привет телепортируйся в аудитория 192 и увези документация им,взять(документация)взять движение(аудитория 192)движение
извольте забрать яблоко в отдел кадров и после чего пойти назад,взять(яблоко)взять движение(отдел кадров)движение движение(обратно)движение
 коллегам хочется чтобы ты отвез инструмент в отдел кадров,взять(инструмент)взять движение(отдел кадров)движение
зайди пожалуйста в пункт 866 и прихвати им яблоко а после этого доберись на прежнее место,взять(яблоко)взять движение(пункт 866)движение движение(обратно)движение
 забери документ из аудитория 303,движение(аудитория 303)движение взять(документ)взять движение(обратно)движение
добрый день зайди в буфет и отнеси для них аптечка,взять(аптечка)взять движение(буфет)движение
пойди в пост охраны и принеси прибор туда,взять(прибор)взять движение(пост охраны)движение
дружок переместись в аудитория 681 и привези аптечка для них,взять(аптечка)взять движение(аудитория 681)движение
доброе утро их коллектив просит чтобы ты дошел в медпункт и доставил чашка только для нас,движение(медпункт)движение взять(чашка)взять движение(обратно)движение
 не откажи в любезности для нас именно занести яблоко из кампус Евразия,движение(кампус Евразия)движение взять(яблоко)взять движение(обратно)движение
привези печать пожалуйста в отдел кадров а потом зайди в исходную точку,взять(печать)взять движение(отдел кадров)движение движение(обратно)движение
извольте захватить зонтик пожалуйста нам только из буфет,движение(буфет)движение взять(зонтик)взять движение(обратно)движение
увези прибор из кабинет 587 сюда только пожалуйста,движение(кабинет 587)движение взять(прибор)взять движение(обратно)движение
добрый день привези пицца из отдел кадров,движение(отдел кадров)движение взять(пицца)взять движение(обратно)движение
привет Николаю охота чтобы ты в библиотека захватил документация потом следовал в начальную точку,взять(документация)взять движение(библиотека)движение движение(обратно)движение
телепортируйся в буфет и передай коллективу чашка,взять(чашка)взять движение(буфет)движение
сгоняй в отдел кадров и привези пицца сюда,движение(отдел кадров)движение взять(пицца)взять движение(обратно)движение
 принеси прибор в аудитория 37 после возвращайся обратно,взять(прибор)взять движение(аудитория 37)движение движение(обратно)движение
сделай доброе дело пойди в медпункт и привези прибор для них а после телепортируйся обратно,взять(прибор)взять движение(медпункт)движение движение(обратно)движение
следуй в библиотека и прихвати им документация,взять(документация)взять движение(библиотека)движение
прошу телепортируйся в пункт 119 и привези коллегам тетрадь после возвращайся,взять(тетрадь)взять движение(пункт 119)движение движение(обратно)движение
добрый день просим чтобы ты в кампус Африка увез работа и вот только тогда дошел в исходную точку,взять(работа)взять движение(кампус Африка)движение движение(обратно)движение
поезжай пожалуйста в буфет и возьми для нас документация,движение(буфет)движение взять(документация)взять движение(обратно)движение
привет я жажду чтобы ты занес пицца в кампус Евразия и после заехал в исходную точку,взять(пицца)взять движение(кампус Евразия)движение движение(обратно)движение
попробуйте поехать в пост охраны и взять коллегам пенал и после этого вернуться,взять(пенал)взять движение(пост охраны)движение движение(обратно)движение
попробуйте принести весы пожалуйста мне из медпункт,движение(медпункт)движение взять(весы)взять движение(обратно)движение
привет ее группы хотят чтобы ты отдал зонтик нам только из отдел кадров,движение(отдел кадров)движение взять(зонтик)взять движение(обратно)движение
потрудитесь принести пицца из аудитория 152,движение(аудитория 152)движение взять(пицца)взять движение(обратно)движение
доброе утро команде охота чтобы ты увез инструмент в буфет после поехал на прежнее место,взять(инструмент)взять движение(буфет)движение движение(обратно)движение
привет я требую чтобы ты забрал ножницы для меня только из пункт 628,движение(пункт 628)движение взять(ножницы)взять движение(обратно)движение
следуй пожалуйста в кабинет 944 и довези блокнот коллективу,взять(блокнот)взять движение(кабинет 944)движение
потрудитесь взять ножницы в пост охраны и после этого идти на прежнее место,взять(ножницы)взять движение(пост охраны)движение движение(обратно)движение
прошу дойди в пункт 413 и привези им инструмент а после чего возвращайся,взять(инструмент)взять движение(пункт 413)движение движение(обратно)движение
сделай одолжение сгоняй в кампус Антарктида и отнеси коллективу аптечка,взять(аптечка)взять движение(кампус Антарктида)движение
добрый день они желают чтобы ты в отдел кадров отвез пенал а после дошел в начальную точку,взять(пенал)взять движение(отдел кадров)движение движение(обратно)движение
попробуйте забрать пенал в отдел кадров ,взять(пенал)взять движение(отдел кадров)движение
попробуйте поехать пожалуйста в медпункт и привезти сюда груз,движение(медпункт)движение взять(груз)взять движение(обратно)движение
попробуйте отнести объект в кабинет 85,взять(объект)взять движение(кабинет 85)движение
довези объект в отдел кадров,взять(объект)взять движение(отдел кадров)движение
дружок передай кружка в кампус Бразилия и вот только тогда доберись обратно,взять(кружка)взять движение(кампус Бразилия)движение движение(обратно)движение
передай вот для нас пенал пожалуйста из медпункт,движение(медпункт)движение взять(пенал)взять движение(обратно)движение
привет Полина и Ксения просят чтобы ты забрал пицца в кампус Южная Америка и затем добрался назад,взять(пицца)взять движение(кампус Южная Америка)движение движение(обратно)движение
доброе утро желаем чтобы ты в буфет забрал пенал и после чего прибыл назад,взять(пенал)взять движение(буфет)движение движение(обратно)движение
добрый день прихвати аптечка в медпункт и только тогда заедь в исходную точку,взять(аптечка)взять движение(медпункт)движение движение(обратно)движение
потрудитесь привезти тетрадь в кампус Бразилия пожалуйста,взять(тетрадь)взять движение(кампус Бразилия)движение
доброе утро следуй в аудитория 734 и отвези документ им и после чего поезжай в начальную точку,взять(документ)взять движение(аудитория 734)движение движение(обратно)движение
будь так добр доставь печать в пункт 567,взять(печать)взять движение(пункт 567)движение
доброе утро его коллеги хотят чтобы ты прихватил инструмент в аудитория 49,взять(инструмент)взять движение(аудитория 49)движение
 доставь работа в аудитория 690 и только потом сбегай на прежнее место,взять(работа)взять движение(аудитория 690)движение движение(обратно)движение
будь добр забери документация в медпункт,взять(документация)взять движение(медпункт)движение
 хочется чтобы ты передал телефон из буфет,движение(буфет)движение взять(телефон)взять движение(обратно)движение
добрый вечер требуем чтобы ты увез прибор в библиотека и только после этого следовал на прежнее место,взять(прибор)взять движение(библиотека)движение движение(обратно)движение
сделай доброе дело иди в пост охраны и занеси для них яблоко после этого поезжай обратно,взять(яблоко)взять движение(пост охраны)движение движение(обратно)движение
друг доставь кружка в кампус Бразилия,взять(кружка)взять движение(кампус Бразилия)движение
прошу пойди в аудитория 585 и передай туда документ,взять(документ)взять движение(аудитория 585)движение
друг доставь инструмент в пост охраны после чего возвращайся обратно,взять(инструмент)взять движение(пост охраны)движение движение(обратно)движение
добрый день жаждим чтобы ты отвез объект в медпункт после съездил в исходную точку,взять(объект)взять движение(медпункт)движение движение(обратно)движение
сделай одолжение дойди в медпункт и увези инструмент коллективу,взять(инструмент)взять движение(медпункт)движение
добрый день жаждим чтобы ты отдал зонтик в медпункт,взять(зонтик)взять движение(медпункт)движение
добрый вечер довези ножницы мне вот из пост охраны,движение(пост охраны)движение взять(ножницы)взять движение(обратно)движение
доброе утро он хочет чтобы ты довез документация сюда только из библиотека,движение(библиотека)движение взять(документация)взять движение(обратно)движение
 мы хотим чтобы ты доставил документация в кампус Евразия и потом приехал в исходную точку,взять(документация)взять движение(кампус Евразия)движение движение(обратно)движение
добрый вечер нам охота чтобы ты в пункт 148 забрал яблоко и потом съездил в исходную точку,взять(яблоко)взять движение(пункт 148)движение движение(обратно)движение
добрый вечер они требуют чтобы ты довез ножницы в пункт 110 затем вернулся,взять(ножницы)взять движение(пункт 110)движение движение(обратно)движение
не откажи в любезности забрать печать пожалуйста в отдел кадров,взять(печать)взять движение(отдел кадров)движение
добрый вечер наши коллеги хотят чтобы ты привез кружка только мне из кампус Антарктида,движение(кампус Антарктида)движение взять(кружка)взять движение(обратно)движение
отвези пицца в кабинет 85,взять(пицца)взять движение(кабинет 85)движение
добрый день принеси объект в медпункт,взять(объект)взять движение(медпункт)движение
не откажите в любезности поехать пожалуйста в библиотека и доставить туда ножницы,взять(ножницы)взять движение(библиотека)движение
доброе утро команда жаждет чтобы ты принес весы в кабинет 471,взять(весы)взять движение(кабинет 471)движение
добрый вечер они желают чтобы ты занес весы из кампус Бразилия,движение(кампус Бразилия)движение взять(весы)взять движение(обратно)движение
будь другом отнеси работа для нас именно из пост охраны,движение(пост охраны)движение взять(работа)взять движение(обратно)движение
 отнеси работа в пункт 875 а затем дойди назад,взять(работа)взять движение(пункт 875)движение движение(обратно)движение
добрый вечер я жажду чтобы ты доставил инструмент в аудитория 146,взять(инструмент)взять движение(аудитория 146)движение
привет она хочет чтобы ты в буфет увез телефон и после этого добрался назад,взять(телефон)взять движение(буфет)движение движение(обратно)движение
добрый день коллегам охота чтобы ты забрал прибор в кабинет 60,взять(прибор)взять движение(кабинет 60)движение
прошу сходи в медпункт и отдай работа им и только после этого следуй на прежнее место,взять(работа)взять движение(медпункт)движение движение(обратно)движение
 наши коллеги хотят чтобы ты в кабинет 828 увез аптечка и только тогда вернулся,взять(аптечка)взять движение(кабинет 828)движение движение(обратно)движение
 мы желаем чтобы ты прихватил документация из пункт 70,движение(пункт 70)движение взять(документация)взять движение(обратно)движение
потрудись привезти пенал пожалуйста для меня именно из кабинет 910,движение(кабинет 910)движение взять(пенал)взять движение(обратно)движение
 передай яблоко из пункт 333,движение(пункт 333)движение взять(яблоко)взять движение(обратно)движение
доброе утро коллегам хочется чтобы ты зашел в кампус Бразилия и прихватил пенал именно для меня,движение(кампус Бразилия)движение взять(пенал)взять движение(обратно)движение
поезжай в аудитория 329 и отнеси чашка сюда,движение(аудитория 329)движение взять(чашка)взять движение(обратно)движение
сделай одолжение возьми документация из аудитория 913,движение(аудитория 913)движение взять(документация)взять движение(обратно)движение
добрый день ее коллеги жаждят чтобы ты в пост охраны передал ножницы и только после этого заехал обратно,взять(ножницы)взять движение(пост охраны)движение движение(обратно)движение
 жаждим чтобы ты принес работа в отдел кадров после поехал обратно,взять(работа)взять движение(отдел кадров)движение движение(обратно)движение
привези весы из медпункт ,движение(медпункт)движение взять(весы)взять движение(обратно)движение
друг сходи в кабинет 556 и принеси груз коллективу и вот только тогда вернись,взять(груз)взять движение(кабинет 556)движение движение(обратно)движение
 хотим чтобы ты отвез аптечка для нас именно из пост охраны,движение(пост охраны)движение взять(аптечка)взять движение(обратно)движение
попробуйте довезти груз в буфет,взять(груз)взять движение(буфет)движение
не сочтите за труд прибыть пожалуйста в кампус Евразия и занести чашка для них и затем съездить обратно,взять(чашка)взять движение(кампус Евразия)движение движение(обратно)движение
извольте прихватить прибор в буфет пожалуйста,взять(прибор)взять движение(буфет)движение
добрый день я желаю чтобы ты добрался в буфет и взял весы именно для меня,движение(буфет)движение взять(весы)взять движение(обратно)движение
 доставь нам именно прибор из аудитория 819,движение(аудитория 819)движение взять(прибор)взять движение(обратно)движение
 мой коллега жаждет чтобы ты привез документ нам из кампус Евразия,движение(кампус Евразия)движение взять(документ)взять движение(обратно)движение
извольте дойти в аудитория 32 и довезти для нас работа,движение(аудитория 32)движение взять(работа)взять движение(обратно)движение
передай блокнот в кабинет 456 а после этого вернись пожалуйста,взять(блокнот)взять движение(кабинет 456)движение движение(обратно)движение
добрый день наши группы требуют чтобы ты взял ножницы из отдел кадров,движение(отдел кадров)движение взять(ножницы)взять движение(обратно)движение
пожалуйста захвати работа в буфет и затем возвращайся,взять(работа)взять движение(буфет)движение движение(обратно)движение
извольте отвезти мне именно документация из библиотека,движение(библиотека)движение взять(документация)взять движение(обратно)движение
принеси пицца пожалуйста для нас именно из библиотека,движение(библиотека)движение взять(пицца)взять движение(обратно)движение
потрудитесь телепортироваться в отдел кадров и забрать коллективу объект,взять(объект)взять движение(отдел кадров)движение
привет твои коллеги жаждят чтобы ты отнес чашка в пост охраны,взять(чашка)взять движение(пост охраны)движение
добрый день мы просим чтобы ты передал груз из кампус Евразия,движение(кампус Евразия)движение взять(груз)взять движение(обратно)движение
 он желает чтобы ты передал груз только для меня из аудитория 902,движение(аудитория 902)движение взять(груз)взять движение(обратно)движение
отдай документ пожалуйста в библиотека,взять(документ)взять движение(библиотека)движение
доброе утро ему охота чтобы ты довез зонтик только сюда из кампус Антарктида,движение(кампус Антарктида)движение взять(зонтик)взять движение(обратно)движение
можешь телепортироваться пожалуйста в кампус Южная Америка и довезти ножницы сюда,движение(кампус Южная Америка)движение взять(ножницы)взять движение(обратно)движение
добрый вечер он хочет чтобы ты в отдел кадров захватил пицца после прибыл в начальную точку,взять(пицца)взять движение(отдел кадров)движение движение(обратно)движение
привет моя команда просит чтобы ты прихватил объект в буфет,взять(объект)взять движение(буфет)движение
привет ей охота чтобы ты переместился в буфет и принес прибор мне вот,движение(буфет)движение взять(прибор)взять движение(обратно)движение
добрый день ее группа хочет чтобы ты сгонял в пост охраны и передал блокнот вот сюда,движение(пост охраны)движение взять(блокнот)взять движение(обратно)движение
